1.000000000000000000e+00,1.000000000000000000e+00,4.014623936793760444e-04
1.000000000000000000e+00,2.000000000000000000e+00,4.014623936793760444e-04
1.000000000000000000e+00,3.000000000000000000e+00,4.014623936793760444e-04
1.000000000000000000e+00,4.000000000000000000e+00,4.014623936793760444e-04
1.000000000000000000e+00,5.000000000000000000e+00,4.014623936793760444e-04
1.000000000000000000e+00,6.000000000000000000e+00,4.014623936793760444e-04
1.000000000000000000e+00,7.000000000000000000e+00,4.014623936793760444e-04
1.000000000000000000e+00,8.000000000000000000e+00,4.014623936793760444e-04
1.000000000000000000e+00,9.000000000000000000e+00,4.014623936793760444e-04
1.000000000000000000e+00,1.000000000000000000e+01,4.014623936793760444e-04
1.000000000000000000e+00,1.100000000000000000e+01,4.014623936793760444e-04
1.000000000000000000e+00,1.200000000000000000e+01,4.014623936793760444e-04
1.000000000000000000e+00,1.300000000000000000e+01,4.014623936793760444e-04
1.000000000000000000e+00,1.400000000000000000e+01,4.014623936793760444e-04
1.000000000000000000e+00,1.500000000000000000e+01,4.014623936793760444e-04
1.000000000000000000e+00,1.600000000000000000e+01,4.014623936793760444e-04
1.000000000000000000e+00,1.700000000000000000e+01,4.014623936793760444e-04
1.000000000000000000e+00,1.800000000000000000e+01,4.014623936793760444e-04
1.000000000000000000e+00,1.900000000000000000e+01,4.014623936793760444e-04
1.000000000000000000e+00,2.000000000000000000e+01,3.925410071531677011e-04
1.000000000000000000e+00,2.100000000000000000e+01,3.497183518273675341e-04
1.000000000000000000e+00,2.200000000000000000e+01,3.407969653011592450e-04
1.000000000000000000e+00,2.300000000000000000e+01,3.336598560801925595e-04
1.000000000000000000e+00,2.400000000000000000e+01,3.425812426064009028e-04
1.000000000000000000e+00,2.500000000000000000e+01,3.978938390688927288e-04
1.000000000000000000e+00,2.600000000000000000e+01,3.978938390688927288e-04
1.000000000000000000e+00,2.700000000000000000e+01,3.176013603330174765e-04
1.000000000000000000e+00,4.400000000000000000e+01,3.193856376382591344e-04
